item_id,historical_return_rate,avg_item_losses_30d,updated_at
ITEM-079,0.557032,306.6559,2026-01-01T17:00:00Z
ITEM-080,0.783898,583.7486,2026-03-19T21:00:00Z
ITEM-081,0.664314,442.3945,2026-03-08T14:00:00Z
ITEM-082,0.406387,748.912,2026-03-08T13:00:00Z
ITEM-083,0.81402,624.2412,2026-02-05T09:00:00Z
ITEM-084,0.166973,383.4957,2026-03-14T01:00:00Z
ITEM-085,0.022712,301.0876,2026-02-04T08:00:00Z
ITEM-086,0.090048,789.3052,2026-01-05T09:00:00Z
ITEM-087,0.722359,574.2082,2026-03-23T16:00:00Z
ITEM-088,0.461877,760.9557,2026-01-22T02:00:00Z
ITEM-089,0.161272,94.7829,2026-01-10T04:00:00Z
ITEM-090,0.501045,680.4269,2026-02-25T23:00:00Z
ITEM-091,0.152312,509.6591,2026-01-22T00:00:00Z
ITEM-092,0.69632,97.5373,2026-03-19T05:00:00Z
ITEM-093,0.446156,470.6064,2026-02-09T22:00:00Z
ITEM-094,0.381021,548.8771,2026-01-01T09:00:00Z
ITEM-095,0.301512,9.8421,2026-03-27T15:00:00Z
ITEM-096,0.630283,363.4544,2026-02-16T07:00:00Z
ITEM-097,0.361813,660.3196,2026-01-24T16:00:00Z
ITEM-098,0.08765,236.2872,2026-03-02T22:00:00Z
ITEM-099,0.118006,366.8385,2026-02-17T18:00:00Z
ITEM-100,0.961898,353.8513,2026-01-03T15:00:00Z
ITEM-101,0.908581,241.5419,2026-03-10T08:00:00Z
ITEM-102,0.699707,734.7535,2026-02-06T02:00:00Z
ITEM-103,0.26587,625.0352,2026-03-04T23:00:00Z
ITEM-104,0.969176,88.4707,2026-03-22T14:00:00Z
ITEM-105,0.778751,797.6277,2026-02-24T22:00:00Z
ITEM-106,0.71689,703.36,2026-03-02T10:00:00Z
ITEM-107,0.449362,227.1268,2026-01-23T22:00:00Z
ITEM-108,0.272242,669.5173,2026-01-22T09:00:00Z
ITEM-109,0.096391,85.1356,2026-02-07T08:00:00Z
ITEM-110,0.902602,799.2838,2026-03-18T18:00:00Z
ITEM-111,0.455776,532.5478,2026-02-17T04:00:00Z
ITEM-112,0.202363,520.1,2026-02-01T07:00:00Z
ITEM-113,0.305957,72.3526,2026-03-12T03:00:00Z
ITEM-114,0.57922,717.6267,2026-03-18T19:00:00Z
ITEM-115,0.176773,23.1996,2026-03-23T05:00:00Z
ITEM-116,0.856614,192.6624,2026-01-27T21:00:00Z
ITEM-117,0.75852,114.4175,2026-03-05T20:00:00Z
ITEM-118,0.719463,621.4144,2026-02-23T03:00:00Z
ITEM-119,0.432093,158.5634,2026-02-10T09:00:00Z
ITEM-120,0.627309,728.5106,2026-02-05T17:00:00Z
ITEM-121,0.584098,525.0152,2026-01-11T07:00:00Z
ITEM-122,0.649847,28.9302,2026-01-25T17:00:00Z
ITEM-123,0.084444,4.3439,2026-02-19T11:00:00Z
ITEM-124,0.415807,41.3263,2026-03-21T18:00:00Z
ITEM-125,0.041614,484.7401,2026-03-19T23:00:00Z
ITEM-126,0.493991,641.1854,2026-01-17T21:00:00Z
ITEM-127,0.329861,190.8423,2026-03-03T03:00:00Z
ITEM-128,0.144524,679.5271,2026-01-08T15:00:00Z
ITEM-129,0.103403,45.7856,2026-03-02T18:00:00Z
ITEM-130,0.587645,640.7711,2026-01-31T18:00:00Z
ITEM-131,0.170593,742.2363,2026-02-10T11:00:00Z
ITEM-132,0.92512,617.6867,2026-03-06T14:00:00Z
ITEM-133,0.581061,558.4966,2026-02-08T05:00:00Z
ITEM-134,0.34687,670.3842,2026-03-14T16:00:00Z
ITEM-135,0.590915,32.121,2026-02-18T00:00:00Z
ITEM-136,0.022804,161.4257,2026-03-31T21:00:00Z
ITEM-137,0.958559,99.9389,2026-02-27T10:00:00Z
ITEM-138,0.482303,403.6248,2026-01-27T16:00:00Z
ITEM-139,0.782735,596.1505,2026-03-11T18:00:00Z
ITEM-140,0.08273,504.0095,2026-02-06T17:00:00Z
ITEM-141,0.486658,680.9049,2026-02-18T01:00:00Z
ITEM-142,0.490707,124.1704,2026-01-13T07:00:00Z
ITEM-143,0.937826,587.6969,2026-01-11T17:00:00Z
ITEM-144,0.571728,154.4332,2026-02-21T17:00:00Z
ITEM-145,0.473489,216.607,2026-01-17T19:00:00Z
ITEM-146,0.266976,567.9238,2026-03-31T18:00:00Z
ITEM-147,0.331569,784.1638,2026-03-19T00:00:00Z
ITEM-148,0.520672,489.2349,2026-03-05T01:00:00Z
ITEM-149,0.438911,43.6003,2026-03-08T02:00:00Z
ITEM-150,0.021612,493.0472,2026-02-23T13:00:00Z
ITEM-151,0.826292,33.8804,2026-01-06T10:00:00Z
ITEM-152,0.896161,707.3166,2026-02-05T07:00:00Z
ITEM-153,0.140249,567.6626,2026-02-14T14:00:00Z
ITEM-154,0.554036,138.5023,2026-03-24T09:00:00Z
ITEM-155,0.108576,73.3768,2026-01-20T18:00:00Z
ITEM-156,0.67224,146.8266,2026-02-14T17:00:00Z
ITEM-157,0.281234,784.0217,2026-01-31T23:00:00Z
ITEM-158,0.659423,366.8485,2026-01-13T02:00:00Z
ITEM-159,0.726995,627.2648,2026-01-10T06:00:00Z
ITEM-160,0.768647,509.1267,2026-02-02T21:00:00Z
ITEM-161,0.107741,457.9305,2026-01-08T10:00:00Z
ITEM-162,0.916012,116.1042,2026-01-07T01:00:00Z
ITEM-163,0.230214,756.8196,2026-02-01T13:00:00Z
ITEM-164,0.037413,241.0741,2026-01-19T04:00:00Z
ITEM-165,0.554852,462.4138,2026-02-19T22:00:00Z
ITEM-166,0.370922,559.8208,2026-01-02T14:00:00Z
ITEM-167,0.82979,519.3865,2026-01-28T03:00:00Z
ITEM-168,0.808251,752.4755,2026-02-10T19:00:00Z
ITEM-169,0.317139,118.7512,2026-03-28T16:00:00Z
ITEM-170,0.952899,406.6822,2026-02-27T02:00:00Z
ITEM-171,0.290918,323.2275,2026-03-21T06:00:00Z
ITEM-172,0.515057,379.335,2026-01-31T21:00:00Z
ITEM-173,0.255965,95.374,2026-02-10T11:00:00Z
ITEM-174,0.936044,107.2757,2026-02-07T20:00:00Z
ITEM-175,0.164608,222.4604,2026-03-21T20:00:00Z
ITEM-176,0.044911,243.7637,2026-03-28T07:00:00Z
ITEM-177,0.435097,342.3226,2026-03-28T14:00:00Z
ITEM-178,0.992376,488.79,2026-03-09T16:00:00Z
ITEM-179,0.891677,507.7033,2026-02-15T06:00:00Z
ITEM-180,0.748608,329.4487,2026-02-18T16:00:00Z
ITEM-181,0.890792,327.0265,2026-03-30T05:00:00Z
ITEM-182,0.893447,174.1028,2026-01-26T14:00:00Z
ITEM-183,0.518858,470.645,2026-02-01T04:00:00Z
ITEM-184,0.315929,253.6327,2026-03-22T17:00:00Z
ITEM-185,0.772012,28.8479,2026-02-04T18:00:00Z
ITEM-186,0.661661,334.72,2026-01-22T03:00:00Z
ITEM-187,0.373658,379.3061,2026-02-20T10:00:00Z
ITEM-188,0.094467,180.4743,2026-01-30T06:00:00Z
ITEM-189,0.74679,457.9663,2026-03-22T04:00:00Z
ITEM-190,0.262461,452.6175,2026-03-23T19:00:00Z
ITEM-191,0.936813,561.6017,2026-01-28T12:00:00Z
ITEM-192,0.240971,518.3588,2026-02-17T15:00:00Z
ITEM-193,0.122758,521.9464,2026-03-30T13:00:00Z
ITEM-194,0.831113,252.9713,2026-03-08T19:00:00Z
ITEM-195,0.153284,629.9458,2026-01-20T09:00:00Z
ITEM-196,0.179268,439.3155,2026-02-23T04:00:00Z
ITEM-197,0.599383,345.1346,2026-02-25T18:00:00Z
ITEM-198,0.874562,500.81,2026-02-28T19:00:00Z
ITEM-199,0.196435,288.5259,2026-01-03T06:00:00Z
ITEM-200,0.310324,410.1914,2026-01-27T22:00:00Z
ITEM-201,0.777405,589.3646,2026-03-18T21:00:00Z
ITEM-202,0.971826,709.1223,2026-01-22T17:00:00Z
ITEM-203,0.500741,736.8458,2026-01-27T23:00:00Z
ITEM-204,0.143898,402.9063,2026-01-30T00:00:00Z
ITEM-205,0.013936,416.2201,2026-01-16T23:00:00Z
ITEM-206,0.229656,639.8963,2026-01-14T23:00:00Z
ITEM-207,0.131822,251.5606,2026-02-01T05:00:00Z
ITEM-208,0.677659,669.9059,2026-03-20T16:00:00Z
ITEM-209,0.121833,395.3133,2026-01-01T03:00:00Z
ITEM-210,0.50633,92.6854,2026-01-26T11:00:00Z
ITEM-211,0.694262,57.6473,2026-01-06T10:00:00Z
ITEM-212,0.581117,673.5946,2026-02-20T12:00:00Z
ITEM-213,0.199776,44.4543,2026-01-23T13:00:00Z
ITEM-214,0.804125,224.4891,2026-03-13T06:00:00Z
ITEM-215,0.715407,267.304,2026-02-22T15:00:00Z
ITEM-216,0.738984,138.3956,2026-03-12T13:00:00Z
ITEM-217,0.131058,251.1147,2026-02-27T03:00:00Z
ITEM-218,0.123754,594.1541,2026-02-09T10:00:00Z
ITEM-219,0.927563,11.7463,2026-03-19T11:00:00Z
ITEM-220,0.397578,661.7387,2026-02-12T20:00:00Z
ITEM-221,0.300949,685.2384,2026-03-27T11:00:00Z
ITEM-222,0.488584,297.8093,2026-03-31T12:00:00Z
ITEM-223,0.662864,122.8903,2026-02-23T00:00:00Z
ITEM-224,0.955623,480.6723,2026-03-02T17:00:00Z
ITEM-225,0.286446,95.738,2026-01-24T00:00:00Z
ITEM-226,0.924808,291.9355,2026-03-15T07:00:00Z
ITEM-227,0.024859,766.7433,2026-03-02T10:00:00Z
ITEM-228,0.555198,796.3716,2026-03-23T05:00:00Z
ITEM-229,0.633975,617.6839,2026-01-25T00:00:00Z
ITEM-230,0.105897,248.7692,2026-03-12T21:00:00Z
ITEM-231,0.14034,550.132,2026-02-12T07:00:00Z
ITEM-232,0.419114,564.3251,2026-01-17T15:00:00Z
ITEM-233,0.966232,310.2734,2026-01-16T09:00:00Z
ITEM-234,0.596043,512.7109,2026-02-20T14:00:00Z
ITEM-235,0.933023,8.5821,2026-01-29T18:00:00Z
ITEM-236,0.804361,167.2461,2026-01-10T04:00:00Z
ITEM-237,0.467382,420.0706,2026-02-08T10:00:00Z
ITEM-238,0.784763,131.001,2026-02-28T18:00:00Z
ITEM-239,0.017837,132.7255,2026-01-29T16:00:00Z
ITEM-240,0.109144,669.0434,2026-03-27T23:00:00Z
ITEM-241,0.829429,791.3064,2026-03-12T03:00:00Z
ITEM-242,0.796817,444.7755,2026-02-16T03:00:00Z
ITEM-243,0.232641,671.2558,2026-03-26T02:00:00Z
ITEM-244,0.53077,792.2573,2026-02-08T23:00:00Z
ITEM-245,0.606016,113.2767,2026-01-13T13:00:00Z
ITEM-246,0.867739,358.5965,2026-01-04T05:00:00Z
ITEM-247,0.603107,314.0582,2026-03-26T10:00:00Z
ITEM-248,0.412572,64.0394,2026-03-28T09:00:00Z
ITEM-249,0.374184,604.2641,2026-03-08T12:00:00Z
ITEM-250,0.425882,347.0232,2026-01-10T06:00:00Z
ITEM-251,0.651931,375.4615,2026-01-27T10:00:00Z
ITEM-252,0.867491,120.5384,2026-01-04T16:00:00Z
ITEM-253,0.453897,144.7413,2026-01-05T14:00:00Z
ITEM-254,0.24784,725.6829,2026-01-23T03:00:00Z
ITEM-255,0.236662,35.7193,2026-02-21T11:00:00Z
ITEM-256,0.746014,186.2818,2026-01-06T21:00:00Z
ITEM-257,0.816569,233.6475,2026-03-30T14:00:00Z
ITEM-258,0.105278,392.158,2026-02-10T23:00:00Z
ITEM-259,0.066559,469.1561,2026-01-24T17:00:00Z
ITEM-260,0.594434,394.632,2026-02-16T10:00:00Z
ITEM-261,0.146173,67.2923,2026-03-13T02:00:00Z
ITEM-262,0.824664,194.934,2026-01-29T03:00:00Z
ITEM-263,0.310335,674.8707,2026-01-05T06:00:00Z
ITEM-264,0.143872,510.071,2026-01-05T14:00:00Z
ITEM-265,0.92097,519.3192,2026-03-18T16:00:00Z
ITEM-266,0.165532,536.1626,2026-01-11T01:00:00Z
ITEM-267,0.28472,610.3224,2026-02-27T04:00:00Z
ITEM-268,0.153613,46.4868,2026-02-04T14:00:00Z
ITEM-269,0.11549,293.2867,2026-03-11T23:00:00Z
ITEM-270,0.021148,431.6219,2026-01-06T10:00:00Z
ITEM-271,0.055395,270.7652,2026-03-22T19:00:00Z
ITEM-272,0.174641,675.5831,2026-03-04T20:00:00Z
ITEM-273,0.053382,386.058,2026-02-10T10:00:00Z
ITEM-274,0.591144,614.9021,2026-01-19T15:00:00Z
ITEM-275,0.680715,681.6124,2026-03-29T22:00:00Z
ITEM-276,0.39363,403.8332,2026-01-28T04:00:00Z
ITEM-277,0.317991,727.6418,2026-02-14T03:00:00Z
ITEM-278,0.504526,469.6992,2026-02-05T11:00:00Z
ITEM-279,0.875005,680.2194,2026-01-21T17:00:00Z
ITEM-280,0.851132,272.4726,2026-02-07T11:00:00Z
ITEM-281,0.043475,399.0536,2026-01-14T15:00:00Z
ITEM-282,0.181498,425.1288,2026-01-01T03:00:00Z
ITEM-283,0.236745,83.9838,2026-01-27T02:00:00Z
ITEM-284,0.249388,318.842,2026-01-11T02:00:00Z
ITEM-285,0.571233,733.8701,2026-02-07T07:00:00Z
ITEM-286,0.416262,504.6658,2026-03-19T15:00:00Z
ITEM-287,0.049254,142.0053,2026-01-15T15:00:00Z
ITEM-288,0.373614,271.0845,2026-01-01T02:00:00Z
ITEM-289,0.523753,153.2824,2026-01-10T23:00:00Z
ITEM-290,0.101672,19.8585,2026-02-15T17:00:00Z
ITEM-291,0.833459,741.9684,2026-01-25T17:00:00Z
ITEM-292,0.051962,358.5659,2026-02-14T01:00:00Z
ITEM-293,0.924842,246.0281,2026-01-03T15:00:00Z
ITEM-294,0.099113,478.7818,2026-01-30T23:00:00Z
ITEM-295,0.843575,5.8516,2026-02-06T21:00:00Z
ITEM-296,0.902653,222.4177,2026-02-08T19:00:00Z
ITEM-297,0.979571,562.4268,2026-02-19T14:00:00Z
ITEM-298,0.802026,507.0158,2026-03-12T06:00:00Z
ITEM-299,0.779478,785.4448,2026-02-12T01:00:00Z
ITEM-300,0.642483,496.2862,2026-03-17T17:00:00Z
